Geography,Time Period,Time Period End Date,Product Universe,Product Level,Department,Category,Subcategory,Brand,UPC,Description,Dollars,"Dollars, Yago",Units,"Units, Yago",Avg % ACV,"Avg % ACV, Yago",Max % ACV,"Max % ACV, Yago",TDP,"TDP, Yago","Dollars, Promo","Dollars, Promo, Yago","Dollars, Non-Promo","Dollars, Non-Promo, Yago","Units, Promo","Units, Promo, Yago","Units, Non-Promo","Units, Non-Promo, Yago",Base Dollars,"Base Dollars, Yago",Base Units,"Base Units, Yago",Incr Dollars,"Incr Dollars, Yago",Incr Units,"Incr Units, Yago","Dollars, Display Only","Dollars, Display Only, Yago","Dollars, Feature Only","Dollars, Feature Only, Yago","Dollars, Feature & Display","Dollars, Feature & Display, Yago","Dollars, TPR","Dollars, TPR, Yago","Units, Display Only","Units, Display Only, Yago","Units, Feature Only","Units, Feature Only, Yago","Units, Feature & Display","Units, Feature & Display, Yago","Units, TPR","Units, TPR, Yago",promoted_price,promoted_price_yago,discount_percentage,discount_percentage_yago,"Avg % ACV, Any Display","Avg % ACV, Any Display, Yago","Avg % ACV, Any Feature","Avg % ACV, Any Feature, Yago","Avg % ACV, Display Only","Avg % ACV, Display Only, Yago","Avg % ACV, Feature Only","Avg % ACV, Feature Only, Yago","Avg % ACV, Feature & Display","Avg % ACV, Feature & Display, Yago","Avg % ACV, TPR","Avg % ACV, TPR, Yago","Max % ACV, Any Display","Max % ACV, Any Display, Yago","Max % ACV, Any Feature","Max % ACV, Any Feature, Yago","Max % ACV, Display Only","Max % ACV, Display Only, Yago","Max % ACV, Feature Only","Max % ACV, Feature Only, Yago","Max % ACV, Feature & Display","Max % ACV, Feature & Display, Yago","Max % ACV, TPR","Max % ACV, TPR, Yago","TDP, Any Display","TDP, Any Display, Yago","TDP, Any Feature","TDP, Any Feature, Yago","TDP, Display Only","TDP, Display Only, Yago","TDP, Feature & Display","TDP, Feature & Display, Yago","TDP, Feature Only","TDP, Feature Only, Yago","TDP, TPR","TDP, TPR, Yago",list_price,list_price_yago,Velocity Dollars,Velocity Units,"Velocity Dollars, Yago","Velocity Units, Yago"
TOTAL US - FOOD,WEEK,02/21/2016,TPL,BRAND,REFRIGERATED,REFRIGERATED JUICES & FUNCTIONAL BEVERAGES,RF JUICE & JUICE DRINKS & OTHER FUNCTIONAL BEV,MINUTE MAID,,MINUTE MAID,3227659.23,3491866.94,1645962.68,1867951.28,94.83,95.17,94.83,95.17,722.53,748.11,1014207.18,1279651.02,2213452.05,2212215.92,586035.84,837776.81,1059926.84,1030174.47,2991943.23,2850547.63,1443628.65,1321832.33,235716,641319.31,202334.03000000003,546118.95,69121.83,138959.16,220536.42,381552.87,27281.63,83367.91,697267.3,675771.08,40686.71,88515.49,141436.61,328170.85,18163.15,73675.68,385749.37,347414.79,1.73062313048977,1.52743666896199,0.117459160665196,0.182907788317249,6.97,7.38,14.82,8.79,5.98,6.29,14.65,8.51,1.52,3.13,50.24,48.22,6.97,7.38,14.82,8.79,5.98,6.29,14.65,8.51,1.52,3.13,50.24,48.22,13.16,17.58,39.31,45.46,9.96,10.61,3.19,6.97,36.12,38.49,134.53,149.13,1.96095529334845,1.86935653910631,3403626.7320468207,1735698.281134662,3669083.68183251,1962752.2118314595
TOTAL US - FOOD,WEEK,02/26/2017,TPL,BRAND,REFRIGERATED,REFRIGERATED JUICES & FUNCTIONAL BEVERAGES,RF JUICE & JUICE DRINKS & OTHER FUNCTIONAL BEV,MINUTE MAID,,MINUTE MAID,3229001.55,3478507.59,1630885.2,1807779.12,94.95,95,94.95,95,764.22,724.9,853170.97,1224860.99,2375830.58,2253646.6,465260.39,745572.56,1165624.81,1062206.56,3024693.68,2964062.08,1472741.31,1422271.54,204307.86999999965,514445.50999999978,158143.8899999999,385507.58000000007,108757.66,112380.57,167820.75,334355.34,10267.52,59783.39,566325.04,718341.69,62160.71,72418.83,103207.38,223988.28,4248.54,42277.73,295643.76,406887.72,1.83374941933054,1.6428461235215,7.38205782233925e-002,0.146213471543667,8.54,5.67,9.52,11.07,7.75,5.06,8.55,10.67,1.21,2.16,45.47,44.09,8.54,5.67,9.52,11.07,7.75,5.06,8.55,10.67,1.21,2.16,45.47,44.09,15.82,17.58,21.16,48.12,14.16,10.31,1.66,7.27,19.5,40.85,126.12,134.44,1.97990732272265,1.92418838757248,3400738.8625592412,1717625.2764612953,3661586.9368421054,1902925.3894736844
TOTAL US - FOOD,WEEK,02/28/2016,TPL,BRAND,REFRIGERATED,REFRIGERATED JUICES & FUNCTIONAL BEVERAGES,RF JUICE & JUICE DRINKS & OTHER FUNCTIONAL BEV,MINUTE MAID,,MINUTE MAID,3478507.59,3020971.57,1807779.12,1466760.07,95,95.05,95,95.05,724.9,739.26,1224860.99,719031.48,2253646.6,2301940.09,745572.56,423418.84,1062206.56,1043341.23,2964062.08,2781724.95,1422271.54,1283032.29,514445.50999999978,239246.61999999965,385507.58000000007,183727.78000000003,112380.57,55030.06,334355.34,168802.99,59783.39,101886.86,718341.69,393311.57,72418.83,30392.8,223988.28,115485.73,42277.73,76847.27,406887.72,200693.04,1.6428461235215,1.69815655817299,0.146213471543667,0.175500935900309,5.67,5.1,11.07,7.57,5.06,3.37,10.67,7.09,2.16,2.37,44.09,42.42,5.67,5.1,11.07,7.57,5.06,3.37,10.67,7.09,2.16,2.37,44.09,42.42,17.58,12.24,48.12,24.6,10.31,6.52,7.27,5.72,40.85,18.88,134.44,102.62,1.92418838757248,2.0596221780158,3661586.9368421054,1902925.3894736844,3178297.285639137,1543145.7864281957
TOTAL US - FOOD,WEEK,03/05/2017,TPL,BRAND,REFRIGERATED,REFRIGERATED JUICES & FUNCTIONAL BEVERAGES,RF JUICE & JUICE DRINKS & OTHER FUNCTIONAL BEV,MINUTE MAID,,MINUTE MAID,3567003.83,3688798.04,1825541.91,1920794.9,95.08,94.95,95.08,94.95,768.85,718.79,1315596.26,1717818.6,2251407.57,1970979.44,735942.29,1040380.82,1089599.62,880414.08,3203977.72,3088672.17,1565620.84,1480045.3,363026.10999999987,600125.87000000011,259921.06999999983,440749.59999999986,69508.7,79673.7,533844.22,637650.33,55039.58,132981.99,657203.76,867512.58,38195.56,41412.13,319154.74,401935.04,37181.56,86498.78,341410.43,510534.87,1.7876350875284,1.65114404934916,8.51137459895552e-002,0.140232391482398,6.46,9.29,14.68,25.49,5.31,3.52,14.45,24.21,1.25,6.44,49.21,37.54,6.46,9.29,14.68,25.49,5.31,3.52,14.45,24.21,1.25,6.44,49.21,37.54,12.41,19.33,91.7,93.3,9.62,6.52,2.79,12.81,88.92,80.49,128.26,154.76,1.95394244879319,1.92045389125096,3751581.6470340765,1920006.2158182582,3884990.036861506,2022954.0810953132
TOTAL US - FOOD,WEEK,03/06/2016,TPL,BRAND,REFRIGERATED,REFRIGERATED JUICES & FUNCTIONAL BEVERAGES,RF JUICE & JUICE DRINKS & OTHER FUNCTIONAL BEV,MINUTE MAID,,MINUTE MAID,3688798.04,3324725.76,1920794.9,1598643.56,94.95,95.54,94.95,95.54,718.79,743.54,1717818.6,886230.58,1970979.44,2438495.18,1040380.82,465148.92,880414.08,1133494.64,3088672.17,2962999.08,1480045.3,1363427.11,600125.87000000011,361726.6799999997,440749.59999999986,235216.44999999995,79673.7,55440.63,637650.33,308517.41,132981.99,32589.25,867512.58,489683.29,41412.13,30346.23,401935.04,172833.67,86498.78,19031.81,510534.87,242937.21,1.65114404934916,1.90526203952059,0.140232391482398,8.3883872096549e-002,9.29,3.76,25.49,8.18,3.52,2.76,24.21,8.07,6.44,1.25,37.54,41.31,9.29,3.76,25.49,8.18,3.52,2.76,24.21,8.07,6.44,1.25,37.54,41.31,19.33,8.68,93.3,48.57,6.52,5.36,12.81,3.32,80.49,45.26,154.76,113.14,1.92045389125096,2.07971673185235,3884990.036861506,2022954.0810953132,3479930.667783127,1673271.4674481892
TOTAL US - FOOD,WEEK,03/12/2017,TPL,BRAND,REFRIGERATED,REFRIGERATED JUICES & FUNCTIONAL BEVERAGES,RF JUICE & JUICE DRINKS & OTHER FUNCTIONAL BEV,MINUTE MAID,,MINUTE MAID,3769077.4,3793558.72,1957132.76,2014097.92,95.48,94.87,95.48,94.87,782.22,721.28,1184423.24,1649383.79,2584654.16,2144174.93,707893.16,997872.3,1249239.6,1016225.62,3392147.63,3106734.83,1664497.19,1508942.84,376929.77,686823.89000000013,292635.57000000007,505155.07999999984,120008.73,76433.87,588353.02,844444.47,128107.13,198640.44,347954.36,529865.01,72506.96,43607.9,361481.83,564683.35,90584.27,141855.12,183320.1,247725.93,1.67316666825824,1.65290066674864,0.131190752572961,0.12243251242858,9.79,9,33.53,26.08,7.13,2.84,32.93,24.33,4.17,6.45,27.77,35.7,9.79,9,33.53,26.08,7.13,2.84,32.93,24.33,4.17,6.45,27.77,35.7,23.61,20.6,101.14,109.27,12.47,5.72,11.14,14.88,90,94.39,80.96,102.99,1.92581590632615,1.88350262533412,3947504.6082949303,2049782.9493087556,3998691.5990302516,2123008.2428586483
TOTAL US - FOOD,WEEK,03/13/2016,TPL,BRAND,REFRIGERATED,REFRIGERATED JUICES & FUNCTIONAL BEVERAGES,RF JUICE & JUICE DRINKS & OTHER FUNCTIONAL BEV,MINUTE MAID,,MINUTE MAID,3793558.72,3183636.35,2014097.92,1496879.45,94.87,95.25,94.87,95.25,721.28,737.7,1649383.79,744106.75,2144174.93,2439529.6,997872.3,402653.86,1016225.62,1094225.59,3106734.83,2944006.49,1508942.84,1342639.75,686823.89000000013,239629.85999999987,505155.07999999984,154239.69999999995,76433.87,60708.33,844444.47,183771.32,198640.44,56464.25,529865.01,443162.85,43607.9,31627.62,564683.35,115247.48,141855.12,41773.29,247725.93,214005.47,1.65290066674864,1.84800600197897,0.12243251242858,0.131106098898833,9,4.36,26.08,4.57,2.84,4,24.33,4.33,6.45,1.06,35.7,37.06,9,4.36,26.08,4.57,2.84,4,24.33,4.33,6.45,1.06,35.7,37.06,20.6,8.28,109.27,21.19,5.72,6.29,14.88,1.99,94.39,19.2,102.99,116.21,1.88350262533412,2.12684885880423,3998691.5990302516,2123008.2428586483,3342400.3674540683,1571526.9816272964
TOTAL US - FOOD,WEEK,03/19/2017,TPL,BRAND,REFRIGERATED,REFRIGERATED JUICES & FUNCTIONAL BEVERAGES,RF JUICE & JUICE DRINKS & OTHER FUNCTIONAL BEV,MINUTE MAID,,MINUTE MAID,3743902.32,3473317.29,1940068.54,1798147.14,94.99,94.98,94.99,94.98,784.95,726.9,1239757.01,1245877.48,2504145.31,2227439.81,740712.7,772307.8,1199355.84,1025839.34,3360476.47,3051905.28,1644658.68,1476425.57,383425.84999999963,421412.01000000024,295409.8600000001,321721.56999999983,120090.73,92835.54,613422.89,435446.78,102862.37,28035.73,403381.02,689559.43,71967.2,59929.11,374072.63,270326.91,70633.15,18195.42,224039.72,423856.36,1.67373532275064,1.61318774716506,0.132680031044381,0.164847696984261,10.85,5.04,29.52,13.04,8.3,3.8,28.66,12.32,4.47,1.36,25.57,40.2,10.85,5.04,29.52,13.04,8.3,3.8,28.66,12.32,4.47,1.36,25.57,40.2,27.59,11.12,118.1,65.69,16.51,8.25,11.08,2.87,107.02,62.82,84.46,121.01,1.92977837782989,1.93160905063642,3941364.6910201074,2042392.3991999158,3656893.3354390394,1893185.028427037
TOTAL US - FOOD,WEEK,03/20/2016,TPL,BRAND,REFRIGERATED,REFRIGERATED JUICES & FUNCTIONAL BEVERAGES,RF JUICE & JUICE DRINKS & OTHER FUNCTIONAL BEV,MINUTE MAID,,MINUTE MAID,3473317.29,3152246.26,1798147.14,1526502.61,94.98,95.35,94.98,95.35,726.9,734.35,1245877.48,889073.57,2227439.81,2263172.69,772307.8,491872.56,1025839.34,1034630.05,3051905.28,2813028.3,1476425.57,1283125.82,421412.01000000024,339217.95999999996,321721.56999999983,243376.79000000004,92835.54,66105.82,435446.78,265955.57,28035.73,23957.59,689559.43,533054.59,59929.11,36987.15,270326.91,145919.47,18195.42,13921.66,423856.36,295044.28,1.61318774716506,1.80752829554062,0.164847696984261,0.124688735203193,5.04,4.12,13.04,10.45,3.8,3.29,12.32,10.17,1.36,1.35,40.2,35.09,5.04,4.12,13.04,10.45,3.8,3.29,12.32,10.17,1.36,1.35,40.2,35.09,11.12,9.26,65.69,54.17,8.25,6.53,2.87,2.72,62.82,51.45,121.01,129.19,1.93160905063642,2.06501203427356,3656893.3354390394,1893185.028427037,3305974.053487153,1600946.6282118512
TOTAL US - FOOD,WEEK,03/26/2017,TPL,BRAND,REFRIGERATED,REFRIGERATED JUICES & FUNCTIONAL BEVERAGES,RF JUICE & JUICE DRINKS & OTHER FUNCTIONAL BEV,MINUTE MAID,,MINUTE MAID,3425863.27,3118432.18,1737099.21,1566171.63,95.35,94.93,95.35,94.93,803.06,730.09,1036297.59,710629.56,2389565.68,2407802.62,571290.81,441757.19,1165808.4,1124414.44,3159655.74,2965744.83,1539470.14,1428549.01,266207.5299999998,152687.35000000009,197629.07000000007,137622.61999999988,149065.69,58530.54,211378.76,142214.12,7568.3,10746.33,668284.84,499138.57,91882.48,36363.75,113330.99,71796.41,5394.94,4597.25,360682.4,328999.78,1.81395809605269,1.60864288366195,8.02244785366947e-002,0.192090543654941,9.07,3.52,11.96,12.75,8.69,3.28,11.92,12.71,0.38,0.28,44.37,32.67,9.07,3.52,11.96,12.75,8.69,3.28,11.92,12.71,0.38,0.28,44.37,32.67,19.01,7.43,61.98,32.57,18.26,6.84,0.75,0.59,61.23,31.98,144.06,109.13,1.97217479017793,1.9911177806228,3592934.735186157,1821813.5395909809,3284980.7015695777,1649817.3706941956
